6873100.00
29382,0,100.00
38389,-2226.00,0.00,100.00
38462,-1941.00,0.00,100.00
38536,-1812.00,0.00,100.00
38608,-1650.00,0.00,100.00
38681,-1520.00,0.00,100.00
38754,-1417.00,0.00,100.00
38828,-1331.00,0.00,100.00
38900,-1258.00,0.00,100.00
38973,-1161.00,0.00,100.00
39046,-1114.00,0.00,100.00
39119,-1030.00,0.00,100.00
39193,-949.00,0.00,100.00
39269,-658.00,0.00,100.00
39346,2199.00,0.00,100.00
39421,17056.00,0.00,100.00
39498,-3410.00,0.00,100.00
39574,18124.00,0.00,100.00
39651,-8086.00,0.00,100.00
39728,-11025.00,0.00,100.00
39803,-6648.00,0.00,100.00
39880,-6335.00,0.00,100.00
39957,-4453.00,0.00,100.00
40034,-4059.00,0.00,100.00
40107,-3695.00,0.00,100.00
40179,-3468.00,0.00,100.00
40253,-3185.00,0.00,100.00
40326,-3038.00,0.00,100.00
40398,-2894.00,0.00,100.00
40471,-2798.00,0.00,100.00
40545,-2722.00,0.00,100.00
40617,-2603.00,0.00,100.00
40690,-2421.00,0.00,100.00
40763,-2273.00,0.00,100.00
40837,-1840.00,0.00,100.00
40909,-1812.00,0.00,100.00
40982,-1664.00,0.00,100.00
41055,-1507.00,0.00,100.00
41128,-1368.00,0.00,100.00
41201,-1270.00,0.00,100.00
41274,-1197.00,0.00,100.00
41347,-1125.00,0.00,100.00
41420,-1066.00,0.00,100.00
41493,-1054.00,0.00,100.00
41570,-774.00,0.00,100.00
41647,2066.00,0.00,100.00
41722,7028.00,0.00,100.00
41799,777.00,0.00,100.00
41875,-19284.00,0.00,100.00
41952,-9163.00,0.00,100.00
42028,-3893.00,0.00,100.00
42104,-4161.00,0.00,100.00
42181,-3533.00,0.00,100.00
42258,-3129.00,0.00,100.00
42331,-3134.00,0.00,100.00
42406,-2909.00,0.00,100.00
42483,-2755.00,0.00,100.00
42559,-2675.00,0.00,100.00
42635,-2538.00,0.00,100.00
42711,-2288.00,0.00,100.00
42787,-2012.00,0.00,100.00
42863,-1826.00,0.00,100.00
42939,-1677.00,0.00,100.00
43015,-1558.00,0.00,100.00
43091,-1443.00,0.00,100.00
43167,-1307.00,0.00,100.00
43243,-1209.00,0.00,100.00
43320,-1173.00,0.00,100.00
43396,-1054.00,0.00,100.00
43471,-1019.00,0.00,100.00
43547,-972.00,0.00,100.00
43624,-902.00,0.00,100.00
43698,-926.00,0.00,100.00
43773,-611.00,0.00,100.00
43850,2561.00,0.00,100.00
43926,-16013.00,0.00,100.00
44003,-8683.00,0.00,100.00
44079,-8326.00,0.00,100.00
44155,9138.00,0.00,100.00
44231,-16955.00,0.00,100.00
44308,-4704.00,0.00,100.00
44385,-6479.00,0.00,100.00
44462,-4211.00,0.00,100.00
44537,-3777.00,0.00,100.00
44611,-3581.00,0.00,100.00
44684,-3294.00,0.00,100.00
44756,-3067.00,0.00,100.00
44829,-2933.00,0.00,100.00
44903,-2856.00,0.00,100.00
44976,-2746.00,0.00,100.00
45048,-2635.00,0.00,100.00
45121,-2471.00,0.00,100.00
45195,-2149.00,0.00,100.00
45267,-2012.00,0.00,100.00
45340,-1840.00,0.00,100.00
45413,-1637.00,0.00,100.00
45487,-1469.00,0.00,100.00
45559,-1417.00,0.00,100.00
45632,-1319.00,0.00,100.00
45706,-1294.00,0.00,100.00
45778,-1161.00,0.00,100.00
45851,-1114.00,0.00,100.00
45924,-1054.00,0.00,100.00
45998,-960.00,0.00,100.00
46074,-705.00,0.00,100.00
46150,1726.00,0.00,100.00
46227,-15105.00,0.00,100.00
46304,-7824.00,0.00,100.00
46380,15586.00,0.00,100.00
46456,-6821.00,0.00,100.00
46532,-3706.00,0.00,100.00
46609,-3898.00,0.00,100.00
46686,-3522.00,0.00,100.00
46763,-3231.00,0.00,100.00
46835,-3139.00,0.00,100.00
46911,-2964.00,0.00,100.00
46988,-2793.00,0.00,100.00
47064,-2685.00,0.00,100.00
47139,-2603.00,0.00,100.00
47215,-2337.00,0.00,100.00
47292,-2118.00,0.00,100.00
47368,-1883.00,0.00,100.00
47443,-1718.00,0.00,100.00
47520,-1571.00,0.00,100.00
47596,-1430.00,0.00,100.00
47672,-1343.00,0.00,100.00
47748,-1245.00,0.00,100.00
47824,-1125.00,0.00,100.00
47900,-1090.00,0.00,100.00
47976,-1019.00,0.00,100.00
48053,-984.00,0.00,100.00
48129,-926.00,0.00,100.00
48202,-914.00,0.00,100.00
48278,-600.00,0.00,100.00
48355,2263.00,0.00,100.00
48432,10266.00,0.00,100.00
48507,-18604.00,0.00,100.00
48584,21199.00,0.00,100.00
48660,-12740.00,0.00,100.00
48737,-16004.00,0.00,100.00
48814,-6223.00,0.00,100.00
48889,-6618.00,0.00,100.00
48966,-4002.00,0.00,100.00
49043,-3943.00,0.00,100.00
49116,-3495.00,0.00,100.00
49188,-3263.00,0.00,100.00
49262,-3108.00,0.00,100.00
49335,-3008.00,0.00,100.00
49408,-2870.00,0.00,100.00
49480,-2732.00,0.00,100.00
49554,-2651.00,0.00,100.00
49627,-2438.00,0.00,100.00
49699,-2288.00,0.00,100.00
49772,-1999.00,0.00,100.00
49846,-1853.00,0.00,100.00
49918,-1690.00,0.00,100.00
49991,-1545.00,0.00,100.00
50064,-1417.00,0.00,100.00
50138,-1331.00,0.00,100.00
50210,-1221.00,0.00,100.00
50283,-1185.00,0.00,100.00
50356,-1078.00,0.00,100.00
50429,-1054.00,0.00,100.00
50503,-937.00,0.00,100.00
50579,-751.00,0.00,100.00
50656,2051.00,0.00,100.00
50733,24130.00,0.00,100.00
50808,23350.00,0.00,100.00
50885,18003.00,0.00,100.00
50961,-9150.00,0.00,100.00
51038,-4959.00,0.00,100.00
51115,-3479.00,0.00,100.00
51190,-3549.00,0.00,100.00
51267,-3170.00,0.00,100.00
51337,-3013.00,0.00,100.00
51414,-2875.00,0.00,100.00
